filename,x,y
0083851.jpg,-2.1604426,16.710642
0423455.jpg,-3.8296154,-10.751747
3653518.jpg,18.870398,-6.3028564
0435995.jpg,7.0472775,10.453431
0040202.jpg,-12.895531,-5.6648717
0199554.jpg,14.795913,4.5236425
1327820.jpg,17.014715,-5.0553865
0033704.jpg,-13.733309,-3.8551872
0050298.jpg,-17.552725,2.6528533
1663680.jpg,-6.5182037,-13.486085
0086037.jpg,-2.8714874,16.41252
0068341.jpg,-3.2574184,15.316513
8443704.jpg,-3.0986705,7.2401595
0294594.jpg,-5.188855,-5.6432166
2945796.jpg,-2.6346393,-2.9983373
0200529.jpg,-0.9107451,15.021765
4086024.jpg,9.339945,-5.252184
0013501.jpg,-8.9955435,-7.6717453
5616294.jpg,11.006509,-7.6409616
0099327.jpg,7.3631973,2.6974666
0212292.jpg,5.6103983,-5.8879647
2967008.jpg,5.3798985,9.319869
0101482.jpg,18.702105,-2.4865205
4653586.jpg,-3.1032708,7.860218
3043386.jpg,-10.848121,0.70831925
0031054.jpg,-9.100866,12.382727
1196338.jpg,-5.8451424,-5.97206
2519468.jpg,10.3445215,-4.032019
0015119.jpg,-11.331284,-7.5534353
0066499.jpg,-3.2339718,15.331919
0099901.jpg,14.63318,5.5697727
0960721.jpg,-1.6579854,7.340672
0046672.jpg,-7.2599773,16.61524
4438848.jpg,-3.1689906,-11.930271
7250056.jpg,3.0683084,3.9633188
1356928.jpg,-4.5938687,-10.243281
2004216.jpg,-4.971023,-5.6519575
0386060.jpg,5.4029126,3.2764058
0067647.jpg,-4.3656144,16.224178
0028031.jpg,-7.6132717,-6.0962086
0085748.jpg,-1.0073359,-12.899209
0054870.jpg,-10.767939,-1.2416505
5437138.jpg,3.8525662,-7.170901
0156205.jpg,6.080189,8.9811735
3958014.jpg,8.401457,-6.016584
0120786.jpg,5.0801554,-11.392467
0067227.jpg,-1.9901332,12.865723
0062964.jpg,12.314092,-5.4650807
5794766.jpg,0.2063064,-13.10513
0163983.jpg,10.594949,5.7316127
0479651.jpg,16.289606,-8.422724
0043495.jpg,0.6328852,7.1522064
0115820.jpg,5.896506,10.045581
0210843.jpg,7.5193763,-5.6623836
0160210.jpg,9.180411,-8.769826
1791682.jpg,-4.63584,-6.8370914
3759430.jpg,12.450889,-7.4376087
3479208.jpg,11.866194,-9.063093
0079687.jpg,-0.076809786,-7.235675
0180052.jpg,18.743256,-3.9866896
9260980.jpg,-7.8246636,9.391468
0069825.jpg,-2.6386616,17.13587
2101314.jpg,13.634442,1.4144509
0140379.jpg,11.479717,-12.306209
6751668.jpg,3.4887137,3.9288523
4949254.jpg,-2.1491234,6.9495535
0075717.jpg,-7.6616364,-4.4444213
3849938.jpg,-12.08842,2.3984823
5576174.jpg,-3.2259877,-8.431609
0405469.jpg,-7.849977,-10.061645
0075190.jpg,-2.7764337,14.983322
0082933.jpg,11.866594,-13.240461
0185691.jpg,-5.9988627,-2.171048
0069937.jpg,4.758602,-0.7880248
3333870.jpg,14.372699,-7.4112377
0098216.jpg,-7.991925,3.4519792
0071338.jpg,-4.334701,-0.31200582
7666724.jpg,5.999883,-4.2284303
0078187.jpg,-5.7158356,-4.1748033
0037263.jpg,-10.827115,-5.821913
0119115.jpg,-2.8092308,16.118715
3262022.jpg,-5.18647,-6.6702347
0056638.jpg,-8.887709,5.671472
0101507.jpg,15.714927,4.767135
3859310.jpg,5.648978,9.814896
1779076.jpg,3.7797024,-11.90181
5597408.jpg,-5.050296,-6.3808093
0064276.jpg,-15.154358,9.998591
0109729.jpg,-15.252765,10.992115
0099450.jpg,-3.10597,15.59797
0079450.jpg,12.741593,-12.609377
2113685.jpg,15.412663,6.6935787
0040512.jpg,-13.360737,-9.224495
0107131.jpg,2.8439667,4.3128686
6333088.jpg,-2.826162,-9.8366585
2545428.jpg,-2.423356,-1.6783295
0259419.jpg,-14.094854,4.324482
0223530.jpg,13.796531,4.1531687
0073713.jpg,-9.910576,-5.591326
0039189.jpg,8.660819,0.15203238
0107157.jpg,17.161741,-5.3621287
3231010.jpg,11.011397,-5.0361786
0312017.jpg,7.6089787,-8.947046
2051818.jpg,-13.994005,-3.7761867
1178621.jpg,8.683266,-0.19332418
3717532.jpg,-3.9566941,-9.538863
0032414.jpg,-5.532235,15.934187
